item_name,variants,cuisine,ingredients,type,occasion,description,price_range,dietary_preference,spice_level,serving_style,popularity_score,dish_text
Pesarattu,['Special'],Indian (South),[],Main Course,"['Housewarming', 'Wedding', 'Brunch']",Pesarattu is a popular vegetarian main course from Indian (South) cuisine.,Premium,Vegetarian,Spicy,Live Counter,3.5,Pesarattu - Pesarattu is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Bisibele Bath,['Delight'],Indian (South),[],Appetizer,"['Festival', 'Dinner Party']",Bisibele Bath is a popular vegetarian appetizer from Indian (South) cuisine.,Premium,Vegetarian,Spicy,Live Counter,3.5,Bisibele Bath - Bisibele Bath is a popular vegetarian appetizer from Indian (South) cuisine. (Indian (South))
Vegetable Korma,['Royal'],Indian (South),[],Main Course,"['Birthday Party', 'Corporate Lunch']",Vegetable Korma is a popular vegetarian main course from Indian (South) cuisine.,Economy,Vegetarian,Medium,Plated,4.8,Vegetable Korma - Vegetable Korma is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Tamarind Rice,['Express'],Indian (South),[],Appetizer,"['Baby Shower', 'Office Party']",Tamarind Rice is a popular vegetarian appetizer from Indian (South) cuisine.,Standard,Vegetarian,Medium,Plated,4.1,Tamarind Rice - Tamarind Rice is a popular vegetarian appetizer from Indian (South) cuisine. (Indian (South))
Paneer Butter Masala,"['Delight', 'Express']",Indian (North),[],Main Course,"['Wedding', 'Housewarming']",Paneer Butter Masala is a popular vegetarian main course from Indian (North) cuisine.,Economy,Vegetarian,Spicy,Buffet,3.7,Paneer Butter Masala - Paneer Butter Masala is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Dal Tadka,['Classic'],Indian (North),[],Main Course,"['Reception', 'Office Party']",Dal Tadka is a popular vegetarian main course from Indian (North) cuisine.,Standard,Vegetarian,Mild,Live Counter,4.5,Dal Tadka - Dal Tadka is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Vegetable Biryani,"['Royal', 'Special']",Indian (South),[],Dessert,"['Wedding', 'Baby Shower']",Vegetable Biryani is a popular vegetarian dessert from Indian (South) cuisine.,Luxury,Vegetarian,Medium,Buffet,4.2,Vegetable Biryani - Vegetable Biryani is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Masala Dosa,"['Classic', 'Delight']",Indian (South),[],Main Course,"['Brunch', 'Wedding']",Masala Dosa is a popular vegetarian main course from Indian (South) cuisine.,Premium,Vegetarian,Medium,Plated,3.9,Masala Dosa - Masala Dosa is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Chole Bhature,['Royal'],Indian (North),[],Appetizer,"['Dinner Party', 'Corporate Lunch', 'Brunch']",Chole Bhature is a popular vegetarian appetizer from Indian (North) cuisine.,Luxury,Vegetarian,Medium,Plated,4.5,Chole Bhature - Chole Bhature is a popular vegetarian appetizer from Indian (North) cuisine. (Indian (North))
Rajma Chawal,['Special'],Indian (North),[],Main Course,"['Get-together', 'Dinner Party', 'Wedding']",Rajma Chawal is a popular vegetarian main course from Indian (North) cuisine.,Premium,Vegetarian,Mild,Live Counter,3.9,Rajma Chawal - Rajma Chawal is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Palak Paneer,['Express'],Indian (North),[],Dessert,"['Festival', 'Get-together']",Palak Paneer is a popular vegetarian dessert from Indian (North) cuisine.,Premium,Vegetarian,Medium,Plated,3.8,Palak Paneer - Palak Paneer is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Aloo Gobi,"['Express', 'Classic']",Indian (North),[],Dessert,"['Reception', 'Birthday Party', 'Get-together']",Aloo Gobi is a popular vegetarian dessert from Indian (North) cuisine.,Luxury,Vegetarian,Spicy,Plated,3.8,Aloo Gobi - Aloo Gobi is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Baingan Bharta,"['Express', 'Delight']",Indian (North),[],Main Course,"['Baby Shower', 'Get-together']",Baingan Bharta is a popular vegetarian main course from Indian (North) cuisine.,Standard,Vegetarian,Medium,Live Counter,4.5,Baingan Bharta - Baingan Bharta is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Dhokla,['Delight'],Indian (West),[],Main Course,"['Housewarming', 'Office Party', 'Get-together', 'Baby Shower']",Dhokla is a popular vegetarian main course from Indian (West) cuisine.,Premium,Vegetarian,Spicy,Plated,4.9,Dhokla - Dhokla is a popular vegetarian main course from Indian (West) cuisine. (Indian (West))
Undhiyu,['Royal'],Indian (West),[],Dessert,"['Baby Shower', 'Office Party']",Undhiyu is a popular vegetarian dessert from Indian (West) cuisine.,Premium,Vegetarian,Mild,Live Counter,4.0,Undhiyu - Undhiyu is a popular vegetarian dessert from Indian (West) cuisine. (Indian (West))
Veg Pulao,"['Royal', 'Express']",Indian (South),[],Main Course,"['Baby Shower', 'Office Party', 'Get-together']",Veg Pulao is a popular vegetarian main course from Indian (South) cuisine.,Luxury,Vegetarian,Spicy,Live Counter,4.0,Veg Pulao - Veg Pulao is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Malai Kofta,['Royal'],Indian (North),[],Appetizer,"['Dinner Party', 'Get-together', 'Reception']",Malai Kofta is a popular vegetarian appetizer from Indian (North) cuisine.,Standard,Vegetarian,Mild,Plated,4.7,Malai Kofta - Malai Kofta is a popular vegetarian appetizer from Indian (North) cuisine. (Indian (North))
Sambar Rice,['Royal'],Indian (South),[],Main Course,"['Get-together', 'Office Party', 'Reception']",Sambar Rice is a popular vegetarian main course from Indian (South) cuisine.,Premium,Vegetarian,Spicy,Buffet,5.0,Sambar Rice - Sambar Rice is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Kadhi Pakora,['Express'],Indian (North),[],Dessert,"['Corporate Lunch', 'Baby Shower']",Kadhi Pakora is a popular vegetarian dessert from Indian (North) cuisine.,Premium,Vegetarian,Mild,Plated,4.7,Kadhi Pakora - Kadhi Pakora is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Pav Bhaji,"['Delight', 'Classic']",Indian (West),[],Main Course,"['Corporate Lunch', 'Get-together', 'Office Party']",Pav Bhaji is a popular vegetarian main course from Indian (West) cuisine.,Luxury,Vegetarian,Mild,Live Counter,4.6,Pav Bhaji - Pav Bhaji is a popular vegetarian main course from Indian (West) cuisine. (Indian (West))
Veg Fried Rice,"['Special', 'Royal']",Indian (Indo-Chinese),[],Main Course,"['Birthday Party', 'Office Party', 'Dinner Party', 'Corporate Lunch']",Veg Fried Rice is a popular vegetarian main course from Indian (Indo-Chinese) cuisine.,Standard,Vegetarian,Medium,Live Counter,4.1,Veg Fried Rice - Veg Fried Rice is a popular vegetarian main course from Indian (Indo-Chinese) cuisine. (Indian (Indo-Chinese))
Paneer Tikka,['Delight'],Indian (North),[],Main Course,"['Get-together', 'Baby Shower']",Paneer Tikka is a popular vegetarian main course from Indian (North) cuisine.,Premium,Vegetarian,Mild,Live Counter,3.9,Paneer Tikka - Paneer Tikka is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Rasgulla,"['Royal', 'Classic']",Indian (East),[],Main Course,"['Dinner Party', 'Get-together', 'Housewarming', 'Baby Shower']",Rasgulla is a popular vegetarian main course from Indian (East) cuisine.,Premium,Vegetarian,Spicy,Live Counter,3.5,Rasgulla - Rasgulla is a popular vegetarian main course from Indian (East) cuisine. (Indian (East))
Rasmalai,"['Royal', 'Classic']",Indian (East),[],Dessert,"['Festival', 'Brunch', 'Housewarming']",Rasmalai is a popular vegetarian dessert from Indian (East) cuisine.,Economy,Vegetarian,Mild,Live Counter,4.2,Rasmalai - Rasmalai is a popular vegetarian dessert from Indian (East) cuisine. (Indian (East))
Kesar Kulfi,['Express'],Indian (North),[],Main Course,"['Get-together', 'Housewarming', 'Wedding']",Kesar Kulfi is a popular vegetarian main course from Indian (North) cuisine.,Premium,Vegetarian,Mild,Live Counter,4.8,Kesar Kulfi - Kesar Kulfi is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Gajar Halwa,['Special'],Indian (North),[],Main Course,"['Dinner Party', 'Corporate Lunch']",Gajar Halwa is a popular vegetarian main course from Indian (North) cuisine.,Luxury,Vegetarian,Mild,Buffet,4.1,Gajar Halwa - Gajar Halwa is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Jalebi,"['Special', 'Royal']",Indian (North),[],Appetizer,"['Baby Shower', 'Office Party']",Jalebi is a popular vegetarian appetizer from Indian (North) cuisine.,Premium,Vegetarian,Medium,Buffet,3.6,Jalebi - Jalebi is a popular vegetarian appetizer from Indian (North) cuisine. (Indian (North))
Gulab Jamun,['Classic'],Indian (North),[],Dessert,"['Baby Shower', 'Festival']",Gulab Jamun is a popular vegetarian dessert from Indian (North) cuisine.,Economy,Vegetarian,Spicy,Live Counter,4.6,Gulab Jamun - Gulab Jamun is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Idli Sambar,"['Delight', 'Royal']",Indian (South),[],Main Course,"['Office Party', 'Festival']",Idli Sambar is a popular vegetarian main course from Indian (South) cuisine.,Premium,Vegetarian,Mild,Live Counter,4.6,Idli Sambar - Idli Sambar is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Vada,['Express'],Indian (South),[],Appetizer,"['Corporate Lunch', 'Housewarming']",Vada is a popular vegetarian appetizer from Indian (South) cuisine.,Premium,Vegetarian,Spicy,Buffet,4.1,Vada - Vada is a popular vegetarian appetizer from Indian (South) cuisine. (Indian (South))
Pesarattu,['Royal'],Indian (South),[],Main Course,"['Wedding', 'Dinner Party', 'Get-together']",Pesarattu is a popular vegetarian main course from Indian (South) cuisine.,Standard,Vegetarian,Spicy,Buffet,3.8,Pesarattu - Pesarattu is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Bisibele Bath,"['Special', 'Classic']",Indian (South),[],Main Course,"['Festival', 'Birthday Party']",Bisibele Bath is a popular vegetarian main course from Indian (South) cuisine.,Economy,Vegetarian,Medium,Plated,4.3,Bisibele Bath - Bisibele Bath is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Vegetable Korma,"['Delight', 'Classic']",Indian (South),[],Dessert,"['Baby Shower', 'Office Party']",Vegetable Korma is a popular vegetarian dessert from Indian (South) cuisine.,Economy,Vegetarian,Mild,Live Counter,4.9,Vegetable Korma - Vegetable Korma is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Tamarind Rice,"['Express', 'Classic']",Indian (South),[],Main Course,"['Brunch', 'Housewarming', 'Reception']",Tamarind Rice is a popular vegetarian main course from Indian (South) cuisine.,Economy,Vegetarian,Mild,Live Counter,3.9,Tamarind Rice - Tamarind Rice is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Paneer Butter Masala,"['Express', 'Classic']",Indian (North),[],Appetizer,"['Reception', 'Corporate Lunch', 'Birthday Party']",Paneer Butter Masala is a popular vegetarian appetizer from Indian (North) cuisine.,Economy,Vegetarian,Spicy,Live Counter,4.9,Paneer Butter Masala - Paneer Butter Masala is a popular vegetarian appetizer from Indian (North) cuisine. (Indian (North))
Dal Tadka,['Royal'],Indian (North),[],Dessert,"['Festival', 'Office Party']",Dal Tadka is a popular vegetarian dessert from Indian (North) cuisine.,Luxury,Vegetarian,Medium,Plated,4.3,Dal Tadka - Dal Tadka is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Vegetable Biryani,"['Delight', 'Classic']",Indian (South),[],Dessert,"['Reception', 'Get-together', 'Dinner Party']",Vegetable Biryani is a popular vegetarian dessert from Indian (South) cuisine.,Economy,Vegetarian,Mild,Plated,4.3,Vegetable Biryani - Vegetable Biryani is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Masala Dosa,['Classic'],Indian (South),[],Dessert,"['Brunch', 'Wedding', 'Corporate Lunch']",Masala Dosa is a popular vegetarian dessert from Indian (South) cuisine.,Luxury,Vegetarian,Medium,Plated,4.6,Masala Dosa - Masala Dosa is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Chole Bhature,"['Delight', 'Classic']",Indian (North),[],Appetizer,"['Corporate Lunch', 'Reception', 'Dinner Party']",Chole Bhature is a popular vegetarian appetizer from Indian (North) cuisine.,Standard,Vegetarian,Medium,Buffet,3.5,Chole Bhature - Chole Bhature is a popular vegetarian appetizer from Indian (North) cuisine. (Indian (North))
Rajma Chawal,['Express'],Indian (North),[],Main Course,"['Office Party', 'Reception', 'Baby Shower']",Rajma Chawal is a popular vegetarian main course from Indian (North) cuisine.,Standard,Vegetarian,Spicy,Buffet,3.6,Rajma Chawal - Rajma Chawal is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Palak Paneer,['Special'],Indian (North),[],Dessert,"['Get-together', 'Housewarming', 'Corporate Lunch']",Palak Paneer is a popular vegetarian dessert from Indian (North) cuisine.,Luxury,Vegetarian,Medium,Buffet,4.3,Palak Paneer - Palak Paneer is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Aloo Gobi,"['Delight', 'Express']",Indian (North),[],Main Course,"['Housewarming', 'Baby Shower', 'Birthday Party']",Aloo Gobi is a popular vegetarian main course from Indian (North) cuisine.,Luxury,Vegetarian,Mild,Plated,4.4,Aloo Gobi - Aloo Gobi is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Baingan Bharta,"['Special', 'Delight']",Indian (North),[],Main Course,"['Reception', 'Get-together', 'Wedding', 'Birthday Party']",Baingan Bharta is a popular vegetarian main course from Indian (North) cuisine.,Luxury,Vegetarian,Medium,Plated,4.0,Baingan Bharta - Baingan Bharta is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Dhokla,['Express'],Indian (West),[],Main Course,"['Get-together', 'Dinner Party', 'Reception']",Dhokla is a popular vegetarian main course from Indian (West) cuisine.,Economy,Vegetarian,Medium,Plated,3.8,Dhokla - Dhokla is a popular vegetarian main course from Indian (West) cuisine. (Indian (West))
Undhiyu,"['Delight', 'Express']",Indian (West),[],Main Course,"['Reception', 'Corporate Lunch', 'Dinner Party']",Undhiyu is a popular vegetarian main course from Indian (West) cuisine.,Economy,Vegetarian,Spicy,Buffet,5.0,Undhiyu - Undhiyu is a popular vegetarian main course from Indian (West) cuisine. (Indian (West))
Veg Pulao,"['Classic', 'Royal']",Indian (South),[],Dessert,"['Housewarming', 'Baby Shower', 'Corporate Lunch']",Veg Pulao is a popular vegetarian dessert from Indian (South) cuisine.,Premium,Vegetarian,Spicy,Plated,3.5,Veg Pulao - Veg Pulao is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Malai Kofta,"['Classic', 'Express']",Indian (North),[],Main Course,"['Wedding', 'Housewarming', 'Birthday Party', 'Get-together']",Malai Kofta is a popular vegetarian main course from Indian (North) cuisine.,Standard,Vegetarian,Mild,Plated,4.4,Malai Kofta - Malai Kofta is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Sambar Rice,['Special'],Indian (South),[],Main Course,"['Housewarming', 'Birthday Party', 'Dinner Party', 'Reception']",Sambar Rice is a popular vegetarian main course from Indian (South) cuisine.,Standard,Vegetarian,Medium,Buffet,3.6,Sambar Rice - Sambar Rice is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Kadhi Pakora,"['Classic', 'Royal']",Indian (North),[],Main Course,"['Corporate Lunch', 'Reception']",Kadhi Pakora is a popular vegetarian main course from Indian (North) cuisine.,Premium,Vegetarian,Mild,Live Counter,4.2,Kadhi Pakora - Kadhi Pakora is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Pav Bhaji,['Express'],Indian (West),[],Main Course,"['Festival', 'Wedding', 'Housewarming']",Pav Bhaji is a popular vegetarian main course from Indian (West) cuisine.,Luxury,Vegetarian,Spicy,Live Counter,3.9,Pav Bhaji - Pav Bhaji is a popular vegetarian main course from Indian (West) cuisine. (Indian (West))
Veg Fried Rice,['Express'],Indian (Indo-Chinese),[],Appetizer,"['Dinner Party', 'Birthday Party', 'Housewarming', 'Wedding']",Veg Fried Rice is a popular vegetarian appetizer from Indian (Indo-Chinese) cuisine.,Premium,Vegetarian,Medium,Live Counter,3.7,Veg Fried Rice - Veg Fried Rice is a popular vegetarian appetizer from Indian (Indo-Chinese) cuisine. (Indian (Indo-Chinese))
Paneer Tikka,"['Express', 'Royal']",Indian (North),[],Dessert,"['Festival', 'Housewarming', 'Baby Shower']",Paneer Tikka is a popular vegetarian dessert from Indian (North) cuisine.,Standard,Vegetarian,Mild,Buffet,3.8,Paneer Tikka - Paneer Tikka is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Rasgulla,"['Delight', 'Special']",Indian (East),[],Dessert,"['Office Party', 'Housewarming', 'Festival', 'Brunch']",Rasgulla is a popular vegetarian dessert from Indian (East) cuisine.,Economy,Vegetarian,Medium,Plated,3.8,Rasgulla - Rasgulla is a popular vegetarian dessert from Indian (East) cuisine. (Indian (East))
Rasmalai,['Classic'],Indian (East),[],Dessert,"['Brunch', 'Reception']",Rasmalai is a popular vegetarian dessert from Indian (East) cuisine.,Premium,Vegetarian,Medium,Buffet,3.8,Rasmalai - Rasmalai is a popular vegetarian dessert from Indian (East) cuisine. (Indian (East))
Kesar Kulfi,['Special'],Indian (North),[],Dessert,"['Dinner Party', 'Festival', 'Corporate Lunch', 'Office Party']",Kesar Kulfi is a popular vegetarian dessert from Indian (North) cuisine.,Premium,Vegetarian,Medium,Buffet,4.1,Kesar Kulfi - Kesar Kulfi is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Gajar Halwa,['Express'],Indian (North),[],Main Course,"['Brunch', 'Housewarming', 'Baby Shower', 'Reception']",Gajar Halwa is a popular vegetarian main course from Indian (North) cuisine.,Luxury,Vegetarian,Medium,Live Counter,3.7,Gajar Halwa - Gajar Halwa is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Jalebi,['Express'],Indian (North),[],Main Course,"['Festival', 'Office Party', 'Housewarming', 'Wedding']",Jalebi is a popular vegetarian main course from Indian (North) cuisine.,Economy,Vegetarian,Medium,Plated,4.7,Jalebi - Jalebi is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Gulab Jamun,"['Express', 'Classic']",Indian (North),[],Main Course,"['Dinner Party', 'Brunch']",Gulab Jamun is a popular vegetarian main course from Indian (North) cuisine.,Standard,Vegetarian,Spicy,Plated,3.6,Gulab Jamun - Gulab Jamun is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Idli Sambar,"['Express', 'Delight']",Indian (South),[],Appetizer,"['Get-together', 'Housewarming', 'Dinner Party']",Idli Sambar is a popular vegetarian appetizer from Indian (South) cuisine.,Economy,Vegetarian,Medium,Plated,4.7,Idli Sambar - Idli Sambar is a popular vegetarian appetizer from Indian (South) cuisine. (Indian (South))
Vada,"['Express', 'Classic']",Indian (South),[],Appetizer,"['Reception', 'Office Party', 'Brunch', 'Corporate Lunch']",Vada is a popular vegetarian appetizer from Indian (South) cuisine.,Economy,Vegetarian,Medium,Plated,4.8,Vada - Vada is a popular vegetarian appetizer from Indian (South) cuisine. (Indian (South))
Pesarattu,"['Delight', 'Royal']",Indian (South),[],Appetizer,"['Festival', 'Corporate Lunch']",Pesarattu is a popular vegetarian appetizer from Indian (South) cuisine.,Premium,Vegetarian,Medium,Live Counter,4.4,Pesarattu - Pesarattu is a popular vegetarian appetizer from Indian (South) cuisine. (Indian (South))
Bisibele Bath,"['Special', 'Classic']",Indian (South),[],Main Course,"['Birthday Party', 'Brunch', 'Get-together', 'Corporate Lunch']",Bisibele Bath is a popular vegetarian main course from Indian (South) cuisine.,Luxury,Vegetarian,Mild,Buffet,4.4,Bisibele Bath - Bisibele Bath is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Vegetable Korma,['Delight'],Indian (South),[],Main Course,"['Festival', 'Office Party', 'Baby Shower']",Vegetable Korma is a popular vegetarian main course from Indian (South) cuisine.,Economy,Vegetarian,Mild,Live Counter,4.3,Vegetable Korma - Vegetable Korma is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Tamarind Rice,['Express'],Indian (South),[],Dessert,"['Brunch', 'Get-together']",Tamarind Rice is a popular vegetarian dessert from Indian (South) cuisine.,Premium,Vegetarian,Spicy,Live Counter,4.2,Tamarind Rice - Tamarind Rice is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Pasta Alfredo,['Express'],Italian,[],Dessert,"['Get-together', 'Wedding']",Pasta Alfredo is a popular vegetarian dessert from Italian cuisine.,Standard,Vegetarian,Mild,Buffet,4.7,Pasta Alfredo - Pasta Alfredo is a popular vegetarian dessert from Italian cuisine. (Italian)
Margherita Pizza,"['Royal', 'Classic']",Italian,[],Appetizer,"['Office Party', 'Get-together', 'Wedding', 'Festival']",Margherita Pizza is a popular vegetarian appetizer from Italian cuisine.,Economy,Vegetarian,Mild,Live Counter,4.1,Margherita Pizza - Margherita Pizza is a popular vegetarian appetizer from Italian cuisine. (Italian)
Vegetable Lasagna,['Express'],Italian,[],Dessert,"['Wedding', 'Birthday Party']",Vegetable Lasagna is a popular vegetarian dessert from Italian cuisine.,Standard,Vegetarian,Spicy,Buffet,5.0,Vegetable Lasagna - Vegetable Lasagna is a popular vegetarian dessert from Italian cuisine. (Italian)
Veg Manchurian,['Classic'],Chinese,[],Appetizer,"['Corporate Lunch', 'Reception']",Veg Manchurian is a popular vegetarian appetizer from Chinese cuisine.,Economy,Vegetarian,Spicy,Live Counter,4.8,Veg Manchurian - Veg Manchurian is a popular vegetarian appetizer from Chinese cuisine. (Chinese)
Hakka Noodles,['Special'],Chinese,[],Main Course,"['Birthday Party', 'Festival', 'Office Party', 'Get-together']",Hakka Noodles is a popular vegetarian main course from Chinese cuisine.,Economy,Vegetarian,Spicy,Buffet,4.9,Hakka Noodles - Hakka Noodles is a popular vegetarian main course from Chinese cuisine. (Chinese)
Spring Rolls,"['Royal', 'Delight']",Chinese,[],Main Course,"['Brunch', 'Housewarming']",Spring Rolls is a popular vegetarian main course from Chinese cuisine.,Premium,Vegetarian,Spicy,Plated,4.6,Spring Rolls - Spring Rolls is a popular vegetarian main course from Chinese cuisine. (Chinese)
Falafel Wrap,['Delight'],Mediterranean,[],Main Course,"['Birthday Party', 'Get-together', 'Housewarming', 'Baby Shower']",Falafel Wrap is a popular vegetarian main course from Mediterranean cuisine.,Luxury,Vegetarian,Spicy,Live Counter,4.2,Falafel Wrap - Falafel Wrap is a popular vegetarian main course from Mediterranean cuisine. (Mediterranean)
Hummus Platter,"['Delight', 'Special']",Mediterranean,[],Appetizer,"['Corporate Lunch', 'Brunch']",Hummus Platter is a popular vegetarian appetizer from Mediterranean cuisine.,Luxury,Vegetarian,Spicy,Plated,3.9,Hummus Platter - Hummus Platter is a popular vegetarian appetizer from Mediterranean cuisine. (Mediterranean)
Greek Salad,"['Special', 'Express']",Mediterranean,[],Main Course,"['Baby Shower', 'Dinner Party', 'Reception', 'Corporate Lunch']",Greek Salad is a popular vegetarian main course from Mediterranean cuisine.,Economy,Vegetarian,Spicy,Live Counter,3.7,Greek Salad - Greek Salad is a popular vegetarian main course from Mediterranean cuisine. (Mediterranean)
Veg Quesadilla,"['Classic', 'Royal']",Mexican,[],Main Course,"['Reception', 'Festival', 'Housewarming', 'Dinner Party']",Veg Quesadilla is a popular vegetarian main course from Mexican cuisine.,Standard,Vegetarian,Spicy,Live Counter,5.0,Veg Quesadilla - Veg Quesadilla is a popular vegetarian main course from Mexican cuisine. (Mexican)
Tacos,"['Special', 'Delight']",Mexican,[],Main Course,"['Housewarming', 'Festival', 'Corporate Lunch']",Tacos is a popular vegetarian main course from Mexican cuisine.,Premium,Vegetarian,Spicy,Buffet,4.9,Tacos - Tacos is a popular vegetarian main course from Mexican cuisine. (Mexican)
Burrito Bowl,['Special'],Mexican,[],Main Course,"['Get-together', 'Birthday Party', 'Office Party']",Burrito Bowl is a popular vegetarian main course from Mexican cuisine.,Standard,Vegetarian,Medium,Live Counter,3.8,Burrito Bowl - Burrito Bowl is a popular vegetarian main course from Mexican cuisine. (Mexican)
Veg Sushi Roll,['Royal'],Japanese,[],Appetizer,"['Baby Shower', 'Housewarming', 'Festival', 'Brunch']",Veg Sushi Roll is a popular vegetarian appetizer from Japanese cuisine.,Standard,Vegetarian,Spicy,Live Counter,3.9,Veg Sushi Roll - Veg Sushi Roll is a popular vegetarian appetizer from Japanese cuisine. (Japanese)
Pad Thai,['Classic'],Thai,[],Dessert,"['Office Party', 'Birthday Party', 'Dinner Party']",Pad Thai is a popular vegetarian dessert from Thai cuisine.,Premium,Vegetarian,Medium,Buffet,4.3,Pad Thai - Pad Thai is a popular vegetarian dessert from Thai cuisine. (Thai)
Green Curry,"['Classic', 'Royal']",Thai,[],Main Course,"['Get-together', 'Brunch', 'Baby Shower', 'Birthday Party']",Green Curry is a popular vegetarian main course from Thai cuisine.,Luxury,Vegetarian,Mild,Plated,3.6,Green Curry - Green Curry is a popular vegetarian main course from Thai cuisine. (Thai)
Veg Burger,['Delight'],American,[],Main Course,"['Corporate Lunch', 'Get-together', 'Reception', 'Birthday Party']",Veg Burger is a popular vegetarian main course from American cuisine.,Economy,Vegetarian,Medium,Plated,4.5,Veg Burger - Veg Burger is a popular vegetarian main course from American cuisine. (American)
Veg Sandwich,"['Special', 'Classic']",American,[],Main Course,"['Corporate Lunch', 'Baby Shower', 'Get-together', 'Wedding']",Veg Sandwich is a popular vegetarian main course from American cuisine.,Luxury,Vegetarian,Spicy,Live Counter,4.1,Veg Sandwich - Veg Sandwich is a popular vegetarian main course from American cuisine. (American)
Cheese Nachos,['Royal'],Mexican,[],Appetizer,"['Dinner Party', 'Housewarming']",Cheese Nachos is a popular vegetarian appetizer from Mexican cuisine.,Economy,Vegetarian,Medium,Buffet,3.6,Cheese Nachos - Cheese Nachos is a popular vegetarian appetizer from Mexican cuisine. (Mexican)
Penne Arrabbiata,"['Delight', 'Express']",Italian,[],Main Course,"['Festival', 'Birthday Party', 'Baby Shower', 'Corporate Lunch']",Penne Arrabbiata is a popular vegetarian main course from Italian cuisine.,Premium,Vegetarian,Mild,Plated,3.7,Penne Arrabbiata - Penne Arrabbiata is a popular vegetarian main course from Italian cuisine. (Italian)
Risotto,"['Special', 'Delight']",Italian,[],Main Course,"['Office Party', 'Brunch', 'Reception', 'Festival']",Risotto is a popular vegetarian main course from Italian cuisine.,Premium,Vegetarian,Medium,Live Counter,4.6,Risotto - Risotto is a popular vegetarian main course from Italian cuisine. (Italian)
Pasta Alfredo,['Royal'],Italian,[],Main Course,"['Wedding', 'Birthday Party', 'Baby Shower']",Pasta Alfredo is a popular vegetarian main course from Italian cuisine.,Premium,Vegetarian,Medium,Buffet,4.1,Pasta Alfredo - Pasta Alfredo is a popular vegetarian main course from Italian cuisine. (Italian)
Margherita Pizza,['Special'],Italian,[],Dessert,"['Corporate Lunch', 'Festival']",Margherita Pizza is a popular vegetarian dessert from Italian cuisine.,Luxury,Vegetarian,Medium,Plated,3.8,Margherita Pizza - Margherita Pizza is a popular vegetarian dessert from Italian cuisine. (Italian)
Vegetable Lasagna,['Delight'],Italian,[],Dessert,"['Wedding', 'Reception', 'Birthday Party', 'Office Party']",Vegetable Lasagna is a popular vegetarian dessert from Italian cuisine.,Economy,Vegetarian,Medium,Live Counter,3.8,Vegetable Lasagna - Vegetable Lasagna is a popular vegetarian dessert from Italian cuisine. (Italian)
Veg Manchurian,['Delight'],Chinese,[],Main Course,"['Baby Shower', 'Wedding', 'Corporate Lunch', 'Festival']",Veg Manchurian is a popular vegetarian main course from Chinese cuisine.,Economy,Vegetarian,Medium,Plated,4.3,Veg Manchurian - Veg Manchurian is a popular vegetarian main course from Chinese cuisine. (Chinese)
